id,url,date,rawContent,hashtags,cashtags,media,lang,user,retweetCount,likeCount
1.4384E+18,https://twitter.com/PervertRudy/status/1438395239962533888,2021-09-16 06:52:03+00:00,"“You know he’s crazy. He’s been crazy for a long time.”  - Pelosi.

I could’ve told you that @guardian - in fact I did tell you that - back on 16th January, I warned Trump is ‘clinically insane’!

#uselections  https://t.co/QtAUu3js2p",['uselections'],,,en,PervertRudy,0,0
1.43751E+18,https://twitter.com/Paul_Provins/status/1437510329659953153,2021-09-13 20:15:44+00:00,Thank you to @Freedland for facilitating tonight’s live event with @HillaryClinton - A number of topics discussed from #September11 to #Afghanistan to the #USElections! Thanks again for an insightful evening😊🇺🇸 https://t.co/nmYGyUGUmy,"['September11', 'Afghanistan', 'USElections']",,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E_MQBinXMAIMH8k?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E_MQBinXMAIMH8k?format=jpg&name=large'}]",en,Paul_Provins,0,0
1.43584E+18,https://twitter.com/Blog1600Penn/status/1435838125008465923,2021-09-09 05:31:00+00:00,"Repräsentative Umfrage zur #uswahl2024 von @EmersonCollege:  

Präsident @JoeBiden 46%
Donald #Trump 47%

Gegenüber allen anderen möglichen republikanischen Herausforderern liegt #Biden in Führung.

#Blog1600Penn #USElections","['uswahl2024', 'Trump', 'Biden', 'Blog1600Penn', 'USElections']",,,de,Blog1600Penn,2,2
1.43572E+18,https://twitter.com/wankable_celebs/status/1435724815193841666,2021-09-08 22:00:45+00:00,https://t.co/PZeF7wben6 #uselections #maricopaaudit,"['uselections', 'maricopaaudit']",,,qme,wankable_celebs,0,0
1.43558E+18,https://twitter.com/PikeWala/status/1435575955146174470,2021-09-08 12:09:14+00:00,"@denise_dewald Happened in Florida too, #GQP Did it 
#ShamCandidate #USElections #VoteFL #GQPTraitorsToDemocracy #GQPDomesticTerrorists 
https://t.co/lipZSfcO8m","['GQP', 'ShamCandidate', 'USElections', 'VoteFL', 'GQPTraitorsToDemocracy', 'GQPDomesticTerrorists']",,,en,PikeWala,0,0
1.43555E+18,https://twitter.com/Blog1600Penn/status/1435554505987444739,2021-09-08 10:44:00+00:00,"Most White Americans who regularly attend worship services voted for #Trump in 2020 

https://t.co/yL0gqTAGe6 via @pewresearch 

#Blog1600Penn #uswahl2020 #USElections","['Trump', 'Blog1600Penn', 'uswahl2020', 'USElections']",,,en,Blog1600Penn,0,0
1.43423E+18,https://twitter.com/arabnews/status/1434227603406303240,2021-09-04 18:51:21+00:00,"#OPINION: Joe Biden desperately hopes that US voters will have long-since forgotten the horrific scenes from #Afghanistan before the next #USelections. Unfortunately for him, the horrors emerging are only just beginning, writes Baria Alamuddin https://t.co/2iciPFosXT","['OPINION', 'Afghanistan', 'USelections']",,,en,arabnews,0,8
1.43339E+18,https://twitter.com/WomensPowerCen/status/1433387234107998208,2021-09-02 11:12:02+00:00,#americanelection #USElections #RT Women's power site:What if #Trump becomes #USPresident https://t.co/mg0jk9kAWD https://t.co/9JMGxRHG1L,"['americanelection', 'USElections', 'RT', 'Trump', 'USPresident']",,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/ChUePwHWUAAZfEo?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/ChUePwHWUAAZfEo?format=jpg&name=large'}]",en,WomensPowerCen,0,0
1.43224E+18,https://twitter.com/TheFinancialD/status/1432236676106051585,2021-08-30 07:00:07+00:00,Republican efforts questioning the outcome of the 2020 presidential race have led to voting system breaches that election security experts say pose a heightened risk to future elections. #DominionVotingSystems #MikeLindell #SystemBreach #USElections https://t.co/dITntPYyrV,"['DominionVotingSystems', 'MikeLindell', 'SystemBreach', 'USElections']",,,en,TheFinancialD,0,0
1.43166E+18,https://twitter.com/Blog1600Penn/status/1431661101452759045,2021-08-28 16:53:00+00:00,"47% der Republikaner sind der Meinung, dass #Trump weiterhin einen starken Einfluss auf die Partei haben sollte. 

Quelle: @AP/NORC 

Weitere repräsentative Umfragen:

https://t.co/MhFxguPwFU

#Blog1600Penn #USElections","['Trump', 'Blog1600Penn', 'USElections']",,,de,Blog1600Penn,1,1
